indx,BRANCH_NAME,CUSTOMER_CLASS,year, Amount ,Accounts,BRANCH_NAME_En,CBU
0,أبها الفرع الرئيسي,COM,2022," 6,096,244 ",2397,Abhaa Main Branch,AS
1,أبها الفرع الرئيسي,GOVT,2022," 38,023,183 ",5414,Abhaa Main Branch,AS
2,أبها الفرع الرئيسي,RES,2022," 33,735,750 ",186552,Abhaa Main Branch,AS
3,أبها الفرع الرئيسي,TANKER,2022," 107,788,654 ",404,Abhaa Main Branch,AS
4,أبو عريش,COM,2022," 349,629 ",715,Abu Arish,JZBU
5,أبو عريش,GOVT,2022," 6,026,606 ",3122,Abu Arish,JZBU
6,أبو عريش,RES,2022," 6,943,697 ",49304,Abu Arish,JZBU
7,أبو عريش,TANKER,2022," 662,959 ",10,Abu Arish,JZBU
8,أحد رفيدة,COM,2022," 389,748 ",748,Ahad Rafidah,AS
9,أحد رفيدة,GOVT,2022," 870,771 ",915,Ahad Rafidah,AS
10,أحد رفيدة,RES,2022," 5,601,100 ",35079,Ahad Rafidah,AS
11,الباحة الفرع الرئيسي,COM,2022," 464,033 ",482,Bahaa Main Branch,BA
12,الباحة الفرع الرئيسي,GOVT,2022," 6,022,993 ",4541,Bahaa Main Branch,BA
13,الباحة الفرع الرئيسي,RES,2022," 6,296,772 ",65665,Bahaa Main Branch,BA
14,الباحة الفرع الرئيسي,TANKER,2022," 3,677,370 ",84,Bahaa Main Branch,BA
15,البرك,COM,2022," 65,031 ",143,Al Barak,AS
16,البرك,GOVT,2022," 830,818 ",541,Al Barak,AS
17,البرك,RES,2022," 498,019 ",4317,Al Barak,AS
18,الحجره,COM,2022," 11,961 ",8,Al Hajra,BA
19,الحجره,GOVT,2022," 197,982 ",303,Al Hajra,BA
20,الحجره,RES,2022," 333,416 ",1853,Al Hajra,BA
21,الدرب,COM,2022," 116,456 ",328,Ad Darb,JZBU
22,الدرب,GOVT,2022," 4,904,523 ",3683,Ad Darb,JZBU
23,الدرب,RES,2022," 5,793,616 ",48772,Ad Darb,JZBU
24,الدرب,TANKER,2022," 4,061,857 ",20,Ad Darb,JZBU
25,العارضة,COM,2022," 2,188 ",5,AL Aridhah,JZBU
26,العارضة,GOVT,2022," 384,497 ",244,AL Aridhah,JZBU
27,العارضة,RES,2022," 2,183,520 ",17607,AL Aridhah,JZBU
28,العقيق,COM,2022," 35,019 ",29,Al Aqiq,BA
29,العقيق,GOVT,2022," 1,766,445 ",2067,Al Aqiq,BA
30,العقيق,RES,2022," 2,899,357 ",20231,Al Aqiq,BA
31,العقيق,TANKER,2022," 151,200 ",12,Al Aqiq,BA
32,العيدابي,COM,2022," 127,887 ",101,Al Edabi,JZBU
33,العيدابي,GOVT,2022," 355,547 ",259,Al Edabi,JZBU
34,العيدابي,RES,2022," 2,091,164 ",12111,Al Edabi,JZBU
35,العيدابي,TANKER,2022," 1,558,787 ",21,Al Edabi,JZBU
36,القرى,COM,2022," 153,312 ",299,Al Qara,BA
37,القرى,GOVT,2022," 1,726,999 ",3474,Al Qara,BA
38,القرى,RES,2022," 2,730,054 ",28130,Al Qara,BA
39,القرى,TANKER,2022," 1,245,082 ",57,Al Qara,BA
40,المجاردة,RES,2022," 109,045 ",12,Almajardah,AS
41,المخواه وغامد الزناد,COM,2022," 58,327 ",202,Al Makhwah and Ghamid Al Zinad,BA
42,المخواه وغامد الزناد,GOVT,2022," 2,706,959 ",2559,Al Makhwah and Ghamid Al Zinad,BA
43,المخواه وغامد الزناد,RES,2022," 3,042,191 ",17548,Al Makhwah and Ghamid Al Zinad,BA
44,المخواه وغامد الزناد,TANKER,2022," 681,943 ",12,Al Makhwah and Ghamid Al Zinad,BA
45,المندق و بني حسن,COM,2022," 160,390 ",200,Al Mandaq and Bani Hassan,BA
46,المندق و بني حسن,GOVT,2022," 1,467,641 ",2631,Al Mandaq and Bani Hassan,BA
47,المندق و بني حسن,RES,2022," 3,390,621 ",41476,Al Mandaq and Bani Hassan,BA
48,المندق و بني حسن,TANKER,2022," 1,329,713 ",59,Al Mandaq and Bani Hassan,BA
49,النماص,RES,2022," 610,949 ",34,Alnamas,AS
50,بدر الجنوب,GOVT,2022, 705 ,13,Badr Al Janub,NJ
51,بدر الجنوب,RES,2022," 88,618 ",1684,Badr Al Janub,NJ
52,بلجرشي,COM,2022," 702,491 ",1079,Baljorashi,BA
53,بلجرشي,GOVT,2022," 3,595,469 ",3669,Baljorashi,BA
54,بلجرشي,RES,2022," 7,932,156 ",75158,Baljorashi,BA
55,بلجرشي,TANKER,2022," 741,950 ",24,Baljorashi,BA
56,بيش,COM,2022," 47,267 ",25,Baish,JZBU
57,بيش,GOVT,2022," 6,839,815 ",5486,Baish,JZBU
58,بيش,RES,2022," 2,917,838 ",17281,Baish,JZBU
59,بيش,TANKER,2022," 413,580 ",10,Baish,JZBU
60,بيشة,COM,2022," 309,811 ",148,Bishah,AS
61,بيشة,GOVT,2022," 2,128,415 ",714,Bishah,AS
62,بيشة,RES,2022," 4,023,762 ",33263,Bishah,AS
63,بيشة,TANKER,2022," 306,499 ",2,Bishah,AS
64,تثليث,RES,2022," 10,925 ",1,TATHLEETH,AS
65,تنومة,RES,2022," 81,478 ",10,TANOOMAH,AS
66,ثار,GOVT,2022," 7,325 ",56,Thar,NJ
67,ثار,RES,2022," 106,501 ",1006,Thar,NJ
68,ثار,TANKER,2022," 58,601 ",1,Thar,NJ
69,جازان - الرئيسي,COM,2022," 5,039,440 ",1506,Jazan - Main,JZBU
70,جازان - الرئيسي,GOVT,2022," 15,159,728 ",4828,Jazan - Main,JZBU
71,جازان - الرئيسي,RES,2022," 20,332,788 ",80846,Jazan - Main,JZBU
72,جازان - الرئيسي,TANKER,2022," 2,031,792 ",16,Jazan - Main,JZBU
73,حبونا,COM,2022," 18,393 ",44,Hubuna,NJ
74,حبونا,GOVT,2022," 162,224 ",371,Hubuna,NJ
75,حبونا,RES,2022," 1,146,323 ",13809,Hubuna,NJ
76,حبونا,TANKER,2022," 331,021 ",2,Hubuna,NJ
77,خباش,COM,2022," 1,403 ",39,Khubash,NJ
78,خباش,RES,2022," 144,795 ",3007,Khubash,NJ
79,خميس مشيط,COM,2022," 7,977,608 ",1743,Khamis Mushait,AS
80,خميس مشيط,GOVT,2022," 168,086,517 ",6096,Khamis Mushait,AS
81,خميس مشيط,RES,2022," 29,537,936 ",199997,Khamis Mushait,AS
82,شروره,COM,2022," 131,270 ",357,Sharurah,NJ
83,شروره,GOVT,2022," 409,563 ",1013,Sharurah,NJ
84,شروره,RES,2022," 4,632,543 ",28136,Sharurah,NJ
85,شروره,TANKER,2022," 873,152 ",11,Sharurah,NJ
86,صامطة واحد المسارحة,COM,2022," 115,544 ",151,Samtah Ahad Al Masarihah,JZBU
87,صامطة واحد المسارحة,GOVT,2022," 9,666,912 ",3407,Samtah Ahad Al Masarihah,JZBU
88,صامطة واحد المسارحة,RES,2022," 11,230,220 ",70006,Samtah Ahad Al Masarihah,JZBU
89,صامطة واحد المسارحة,TANKER,2022," 266,183 ",10,Samtah Ahad Al Masarihah,JZBU
90,صبيا,COM,2022," 63,625 ",39,Sabya,JZBU
91,صبيا,GOVT,2022," 4,214,106 ",2209,Sabya,JZBU
92,صبيا,RES,2022," 6,179,027 ",21032,Sabya,JZBU
93,صبيا,TANKER,2022," 209,014 ",10,Sabya,JZBU
94,ضمد,COM,2022," 29,191 ",57,Damad,JZBU
95,ضمد,GOVT,2022," 2,097,197 ",872,Damad,JZBU
96,ضمد,RES,2022," 2,608,014 ",25353,Damad,JZBU
97,ظهران الجنوب,RES,2022," 11,109 ",3,DHAHRAN ALJANOUB,AS
98,فرسان,COM,2022," 327,977 ",241,Farasan,JZBU
99,فرسان,GOVT,2022," 3,727,782 ",1706,Farasan,JZBU
100,فرسان,RES,2022," 1,285,586 ",12421,Farasan,JZBU
101,فرسان,TANKER,2022," 319,687 ",10,Farasan,JZBU
102,قلوه,COM,2022," 28,758 ",34,Qilwah,BA
103,قلوه,GOVT,2022," 768,723 ",1617,Qilwah,BA
104,قلوه,RES,2022," 960,034 ",9306,Qilwah,BA
105,محايل,COM,2022," 128,478 ",4,Mahayel,AS
106,محايل,GOVT,2022," 3,205 ",1,Mahayel,AS
107,محايل,RES,2022," 679,436 ",88,Mahayel,AS
108,محايل,TANKER,2022," 1,423,362 ",10,Mahayel,AS
109,مدينة سلطان,COM,2022," 48,327 ",1,Madinat Sultan,AS
110,مدينة سلطان,RES,2022," 26,389 ",56,Madinat Sultan,AS
111,نجران الفرع الرئيسي,COM,2022," 549,467 ",2457,Najran Main Branch,NJ
112,نجران الفرع الرئيسي,GOVT,2022," 18,979,558 ",3156,Najran Main Branch,NJ
113,نجران الفرع الرئيسي,RES,2022," 17,057,527 ",188605,Najran Main Branch,NJ
114,نجران الفرع الرئيسي,TANKER,2022," 1,950,142 ",2,Najran Main Branch,NJ
115,يدمه,GOVT,2022," 2,440 ",12,Yadamah,NJ
116,يدمه,RES,2022," 7,803 ",189,Yadamah,NJ
117,يدمه,TANKER,2022," 115,399 ",2,Yadamah,NJ
0,أبها الفرع الرئيسي,COM,2023," 7,166,141 ",2672,Abhaa Main Branch,AS
