indx,BRANCH_NAME,CUSTOMER_CLASS,year,Amount,Accounts,BRANCH_NAME_En,CBU
0,أبها الفرع الرئيسي,COM,2022,6096243.59,2397,Abhaa Main Branch,AS
1,أبها الفرع الرئيسي,GOVT,2022,38023182.59,5414,Abhaa Main Branch,AS
2,أبها الفرع الرئيسي,RES,2022,33735749.80,186552,Abhaa Main Branch,AS
3,أبها الفرع الرئيسي,TANKER,2022,107788653.50,404,Abhaa Main Branch,AS
4,أبو عريش,COM,2022,349629.24,715,Abu Arish,JZBU
5,أبو عريش,GOVT,2022,6026606.17,3122,Abu Arish,JZBU
6,أبو عريش,RES,2022,6943697.15,49304,Abu Arish,JZBU
7,أبو عريش,TANKER,2022,662958.80,10,Abu Arish,JZBU
8,أحد رفيدة,COM,2022,389748.19,748,Ahad Rafidah,AS
9,أحد رفيدة,GOVT,2022,870770.59,915,Ahad Rafidah,AS
10,أحد رفيدة,RES,2022,5601100.36,35079,Ahad Rafidah,AS
11,الباحة الفرع الرئيسي,COM,2022,464033.09,482,Bahaa Main Branch,BA
12,الباحة الفرع الرئيسي,GOVT,2022,6022993.37,4541,Bahaa Main Branch,BA
13,الباحة الفرع الرئيسي,RES,2022,6296772.30,65665,Bahaa Main Branch,BA
14,الباحة الفرع الرئيسي,TANKER,2022,3677370.20,84,Bahaa Main Branch,BA
15,البرك,COM,2022,65031.48,143,Al Barak,AS
16,البرك,GOVT,2022,830818.21,541,Al Barak,AS
17,البرك,RES,2022,498019.11,4317,Al Barak,AS
18,الحجره,COM,2022,11961.39,8,Al Hajra,BA
19,الحجره,GOVT,2022,197981.99,303,Al Hajra,BA
20,الحجره,RES,2022,333415.52,1853,Al Hajra,BA
21,الدرب,COM,2022,116455.82,328,Ad Darb,JZBU
22,الدرب,GOVT,2022,4904522.70,3683,Ad Darb,JZBU
23,الدرب,RES,2022,5793615.66,48772,Ad Darb,JZBU
24,الدرب,TANKER,2022,4061857.31,20,Ad Darb,JZBU
25,العارضة,COM,2022,2187.79,5,AL Aridhah,JZBU
26,العارضة,GOVT,2022,384496.99,244,AL Aridhah,JZBU
27,العارضة,RES,2022,2183520.36,17607,AL Aridhah,JZBU
28,العقيق,COM,2022,35018.90,29,Al Aqiq,BA
29,العقيق,GOVT,2022,1766444.96,2067,Al Aqiq,BA
30,العقيق,RES,2022,2899356.92,20231,Al Aqiq,BA
31,العقيق,TANKER,2022,151199.70,12,Al Aqiq,BA
32,العيدابي,COM,2022,127886.70,101,Al Edabi,JZBU
33,العيدابي,GOVT,2022,355546.98,259,Al Edabi,JZBU
34,العيدابي,RES,2022,2091164.44,12111,Al Edabi,JZBU
35,العيدابي,TANKER,2022,1558787.30,21,Al Edabi,JZBU
36,القرى,COM,2022,153312.38,299,Al Qara,BA
37,القرى,GOVT,2022,1726999.10,3474,Al Qara,BA
38,القرى,RES,2022,2730054.42,28130,Al Qara,BA
39,القرى,TANKER,2022,1245082.00,57,Al Qara,BA
40,المجاردة,RES,2022,109045.22,12,Almajardah,AS
41,المخواه وغامد الزناد,COM,2022,58326.89,202,Al Makhwah and Ghamid Al Zinad,BA
42,المخواه وغامد الزناد,GOVT,2022,2706958.63,2559,Al Makhwah and Ghamid Al Zinad,BA
43,المخواه وغامد الزناد,RES,2022,3042191.02,17548,Al Makhwah and Ghamid Al Zinad,BA
44,المخواه وغامد الزناد,TANKER,2022,681943.10,12,Al Makhwah and Ghamid Al Zinad,BA
45,المندق و بني حسن,COM,2022,160389.55,200,Al Mandaq and Bani Hassan,BA
46,المندق و بني حسن,GOVT,2022,1467640.57,2631,Al Mandaq and Bani Hassan,BA
47,المندق و بني حسن,RES,2022,3390621.19,41476,Al Mandaq and Bani Hassan,BA
48,المندق و بني حسن,TANKER,2022,1329712.80,59,Al Mandaq and Bani Hassan,BA
49,النماص,RES,2022,610949.00,34,Alnamas,AS
50,بدر الجنوب,GOVT,2022,704.77,13,Badr Al Janub,NJ
51,بدر الجنوب,RES,2022,88618.40,1684,Badr Al Janub,NJ
52,بلجرشي,COM,2022,702490.63,1079,Baljorashi,BA
53,بلجرشي,GOVT,2022,3595469.21,3669,Baljorashi,BA
54,بلجرشي,RES,2022,7932155.90,75158,Baljorashi,BA
55,بلجرشي,TANKER,2022,741950.10,24,Baljorashi,BA
56,بيش,COM,2022,47266.98,25,Baish,JZBU
57,بيش,GOVT,2022,6839814.79,5486,Baish,JZBU
