BRANCH_NAME,CUSTOMER_CLASS,year,month,Amount,Accounts,BRANCH_NAME_En,CBU
أبها الفرع الرئيسي,COM,2022,1,447581.87,169,Abhaa Main Branch,AS
أبها الفرع الرئيسي,COM,2022,2,325483.33,156,Abhaa Main Branch,AS
أبها الفرع الرئيسي,COM,2022,3,486858.90,201,Abhaa Main Branch,AS
أبها الفرع الرئيسي,COM,2022,4,546105.31,175,Abhaa Main Branch,AS
أبها الفرع الرئيسي,COM,2022,5,489295.83,201,Abhaa Main Branch,AS
أبها الفرع الرئيسي,COM,2022,6,334583.47,195,Abhaa Main Branch,AS
أبها الفرع الرئيسي,COM,2022,7,728859.89,217,Abhaa Main Branch,AS
أبها الفرع الرئيسي,COM,2022,8,544298.78,241,Abhaa Main Branch,AS
أبها الفرع الرئيسي,COM,2022,9,416134.53,194,Abhaa Main Branch,AS
أبها الفرع الرئيسي,COM,2022,10,752021.53,231,Abhaa Main Branch,AS
أبها الفرع الرئيسي,COM,2022,11,333830.66,214,Abhaa Main Branch,AS
أبها الفرع الرئيسي,COM,2022,12,691189.49,203,Abhaa Main Branch,AS
أبها الفرع الرئيسي,GOVT,2022,1,3844312.26,391,Abhaa Main Branch,AS
أبها الفرع الرئيسي,GOVT,2022,2,4149.99,1,Abhaa Main Branch,AS
أبها الفرع الرئيسي,GOVT,2022,3,49013.02,34,Abhaa Main Branch,AS
أبها الفرع الرئيسي,GOVT,2022,5,316295.15,213,Abhaa Main Branch,AS
أبها الفرع الرئيسي,GOVT,2022,6,1374521.26,638,Abhaa Main Branch,AS
أبها الفرع الرئيسي,GOVT,2022,7,5635139.85,215,Abhaa Main Branch,AS
أبها الفرع الرئيسي,GOVT,2022,8,2418718.36,2860,Abhaa Main Branch,AS
أبها الفرع الرئيسي,GOVT,2022,9,389561.26,149,Abhaa Main Branch,AS
أبها الفرع الرئيسي,GOVT,2022,10,13596651.82,336,Abhaa Main Branch,AS
أبها الفرع الرئيسي,GOVT,2022,11,5930007.28,382,Abhaa Main Branch,AS
أبها الفرع الرئيسي,GOVT,2022,12,4464812.34,195,Abhaa Main Branch,AS
أبها الفرع الرئيسي,RES,2022,1,2653113.73,13817,Abhaa Main Branch,AS
أبها الفرع الرئيسي,RES,2022,2,1953774.96,13462,Abhaa Main Branch,AS
أبها الفرع الرئيسي,RES,2022,3,2785873.59,15338,Abhaa Main Branch,AS
أبها الفرع الرئيسي,RES,2022,4,2482839.87,14605,Abhaa Main Branch,AS
أبها الفرع الرئيسي,RES,2022,5,2124813.73,14164,Abhaa Main Branch,AS
أبها الفرع الرئيسي,RES,2022,6,3801558.81,15615,Abhaa Main Branch,AS
أبها الفرع الرئيسي,RES,2022,7,2712485.77,15922,Abhaa Main Branch,AS
أبها الفرع الرئيسي,RES,2022,8,3679107.39,16566,Abhaa Main Branch,AS
أبها الفرع الرئيسي,RES,2022,9,3056626.35,16671,Abhaa Main Branch,AS
أبها الفرع الرئيسي,RES,2022,10,2857354.45,16765,Abhaa Main Branch,AS
أبها الفرع الرئيسي,RES,2022,11,2958623.09,16375,Abhaa Main Branch,AS
أبها الفرع الرئيسي,RES,2022,12,2669578.06,17252,Abhaa Main Branch,AS
أبها الفرع الرئيسي,TANKER,2022,1,13719049.70,43,Abhaa Main Branch,AS
أبها الفرع الرئيسي,TANKER,2022,2,5490896.09,35,Abhaa Main Branch,AS
أبها الفرع الرئيسي,TANKER,2022,3,10643569.43,43,Abhaa Main Branch,AS
أبها الفرع الرئيسي,TANKER,2022,4,8060410.54,43,Abhaa Main Branch,AS
أبها الفرع الرئيسي,TANKER,2022,5,8003196.83,38,Abhaa Main Branch,AS
أبها الفرع الرئيسي,TANKER,2022,6,11781863.90,41,Abhaa Main Branch,AS
أبها الفرع الرئيسي,TANKER,2022,7,8171894.90,25,Abhaa Main Branch,AS
أبها الفرع الرئيسي,TANKER,2022,8,10655558.58,41,Abhaa Main Branch,AS
أبها الفرع الرئيسي,TANKER,2022,10,22128153.36,49,Abhaa Main Branch,AS
أبها الفرع الرئيسي,TANKER,2022,11,9134060.17,46,Abhaa Main Branch,AS
أبو عريش,COM,2022,1,50344.81,57,Abu Arish,JZBU
أبو عريش,COM,2022,2,29813.49,53,Abu Arish,JZBU
أبو عريش,COM,2022,3,23663.59,54,Abu Arish,JZBU
أبو عريش,COM,2022,4,20470.91,57,Abu Arish,JZBU
أبو عريش,COM,2022,5,21183.94,55,Abu Arish,JZBU
أبو عريش,COM,2022,6,14238.42,56,Abu Arish,JZBU
أبو عريش,COM,2022,7,50548.72,72,Abu Arish,JZBU
أبو عريش,COM,2022,8,32312.47,62,Abu Arish,JZBU
أبو عريش,COM,2022,9,36222.16,62,Abu Arish,JZBU
أبو عريش,COM,2022,10,18373.66,66,Abu Arish,JZBU
أبو عريش,COM,2022,11,17680.39,63,Abu Arish,JZBU
أبو عريش,COM,2022,12,34776.68,58,Abu Arish,JZBU
أبو عريش,GOVT,2022,1,583.67,2,Abu Arish,JZBU
أبو عريش,GOVT,2022,2,18.19,1,Abu Arish,JZBU
أبو عريش,GOVT,2022,3,23992.98,3,Abu Arish,JZBU
أبو عريش,GOVT,2022,4,146402.22,11,Abu Arish,JZBU
أبو عريش,GOVT,2022,5,72759.89,28,Abu Arish,JZBU
أبو عريش,GOVT,2022,6,108826.05,12,Abu Arish,JZBU
أبو عريش,GOVT,2022,7,519383.05,70,Abu Arish,JZBU
أبو عريش,GOVT,2022,8,2510677.67,2957,Abu Arish,JZBU
أبو عريش,GOVT,2022,9,13875.34,2,Abu Arish,JZBU
أبو عريش,GOVT,2022,10,768303.68,14,Abu Arish,JZBU
أبو عريش,GOVT,2022,12,1861783.43,22,Abu Arish,JZBU
أبو عريش,RES,2022,1,736372.51,3621,Abu Arish,JZBU
أبو عريش,RES,2022,2,467591.05,3476,Abu Arish,JZBU
أبو عريش,RES,2022,3,483769.41,3742,Abu Arish,JZBU
أبو عريش,RES,2022,4,592166.41,3925,Abu Arish,JZBU
أبو عريش,RES,2022,5,508423.85,3740,Abu Arish,JZBU
أبو عريش,RES,2022,6,608397.25,4096,Abu Arish,JZBU
أبو عريش,RES,2022,7,641536.59,4240,Abu Arish,JZBU
أبو عريش,RES,2022,8,659108.92,4364,Abu Arish,JZBU
أبو عريش,RES,2022,9,573543.42,4590,Abu Arish,JZBU
أبو عريش,RES,2022,10,574279.42,4613,Abu Arish,JZBU
